,Speaker,transcript_text,clean_transcript_text,date
0,CHAIR YELLEN,CHAIR YELLEN Let me call our proceedings to order Welcome everyone As usual today’s meeting will be a joint meeting of the fomc and the Board of Governors and I need a motion tose the Board meeting,Let me call our proceedings to order Welcome everyone As usual today’s meeting will be a joint meeting of the fomc and the Board of Governors and I need a motion tose the Board meeting,20170201
1,MR FISCHER,MR FISCHER So moved,So moved,20170201
2,CHAIR YELLEN,CHAIR YELLEN Thank you And without objectionI think as everyone recalls President Lockhart will be stepping down from his position at the end of February Consistent with tradition he’s elected not to attend this Committee meeting But we will have the opportunity to honor him and express our best wishes at a reception in the Eccles Building atrium this evening And for today I am pleased to note that First Vice President Marie Gooding who has attended a number of fomc meetings previously will represent the Atlanta Bank today Marie welcome backEffective with today’s meeting Presidents Evans Harker Kaplan and Kashkari will be members of the fomc This year will be the first on the Committee for Presidents Harker Kaplan and Kashkari so a welcome is in order to them And President Evans you are an old hand as a Committee member So you get a welcome back,Thank you And without objectionI think as everyone recalls President Lockhart will be stepping down from his position at the end of February Consistent with tradition he’s elected not to attend this Committee meeting But we will have the opportunity to honor him and express our best wishes at a reception in the Eccles Building atrium this evening And for today I am pleased to note that First Vice President Marie Gooding who has attended a number of fomc meetings previously will represent the Atlanta Bank today Marie welcome backEffective with today’s meeting Presidents Evans Harker Kaplan and Kashkari will be members of the fomc This year will be the first on the Committee for Presidents Harker Kaplan and Kashkari so a welcome is in order to them And President Evans you are an old hand as a Committee member So you get a welcome back,20170201
3,MR EVANS,MR EVANS Thank you very much,Thank you very much,20170201
4,CHAIR YELLEN,CHAIR YELLEN Let’s now proceed This is our organizational meeting and we have a number of items to get through Our first agenda item is the “Election of Committee Officers” In following precedent I will turn the floor over to another Committee member who will handle the nominations and elections for the positions of Chair and Vice Chair of the Committee I’d like to recognize Governor Fischer,Let’s now proceed This is our organizational meeting and we have a number of items to get through Our first agenda item is the “Election of Committee Officers” In following precedent I will turn the floor over to another Committee member who will handle the nominations and elections for the positions of Chair and Vice Chair of the Committee I’d like to recognize Governor Fischer,20170201
5,MR FISCHER,MR FISCHER Thank you Madam Chair I’ll be calling for two sets of nominations and votes and first I’d like to ask for a nomination for Committee Chair,Thank you Madam Chair I’ll be calling for two sets of nominations and votes and first I’d like to ask for a nomination for Committee Chair,20170201
6,MR TARULLO,MR TARULLO I nominate Janet Yellen ,I nominate Janet Yellen,20170201
7,MR FISCHER,MR FISCHER Is there a second?,Is there a second?,20170201
8,VICE CHAIRMAN DUDLEY,VICE CHAIRMAN DUDLEY Second,Second,20170201
9,MR POWELL,MR POWELL I second that nomination,I second that nomination,20170201
10,MR FISCHER,MR FISCHER All right Record a tie for second [Laughter] Any other nominations or discussion? Without objection And now I’d like to ask for a nomination for the position of Committee Vice Chair,All right Record a tie for second [Laughter] Any other nominations or discussion? Without objection And now I’d like to ask for a nomination for the position of Committee Vice Chair,20170201
11,MR TARULLO,MR TARULLO I nominate William C Dudley ,I nominate William C Dudley,20170201
12,MR FISCHER,MR FISCHER Is there a second?,Is there a second?,20170201
13,MR POWELL,MR POWELL I second that nomination ,I second that nomination,20170201
14,MR FISCHER,MR FISCHER You missed your chance ,You missed your chance,20170201
15,VICE CHAIRMAN DUDLEY,VICE CHAIRMAN DUDLEY I know,I know,20170201
16,MR FISCHER,MR FISCHER Are there any other nominations or discussion? Okay Without objection,Are there any other nominations or discussion? Okay Without objection,20170201
17,CHAIR YELLEN,CHAIR YELLEN Okay Next we have the election of staff officers by the Committee and I’d like to ask Brian to read the list of nominees in just a second I want to note first that President Kashkari plans to nominate an associate economist from the Minneapolis Bank later this year when his recently named research director officially joins the Bank So Brian could you read the list?,Okay Next we have the election of staff officers by the Committee and I’d like to ask Brian to read the list of nominees in just a second I want to note first that President Kashkari plans to nominate an associate economist from the Minneapolis Bank later this year when his recently named research director officially joins the Bank So Brian could you read the list?,20170201
18,MR MADIGAN,MR MADIGAN Certainly For Secretary Brian Madigan; Deputy Secretary Matthew Luecke; Assistant Secretaries David Skidmore and Michelle Smith; General Counsel ScottAlvarez; Deputy General Counsel Michael Held; Assistant General Counsel Richard Ashton; Economists Steven Kamin Thomas Laubach and David Wilcox; Associate Economists from the Board James Clouse Thomas Connors Eric Engen William Wascher Beth Anne Wilson; and Associate Economists from the Banks Michael Dotsey Evan Koenig Jonathan McCarthy Daniel Sullivan,Certainly For Secretary Brian Madigan; Deputy Secretary Matthew Luecke; Assistant Secretaries David Skidmore and Michelle Smith; General Counsel ScottAlvarez; Deputy General Counsel Michael Held; Assistant General Counsel Richard Ashton; Economists Steven Kamin Thomas Laubach and David Wilcox; Associate Economists from the Board James Clouse Thomas Connors Eric Engen William Wascher Beth Anne Wilson; and Associate Economists from the Banks Michael Dotsey Evan Koenig Jonathan McCarthy Daniel Sullivan,20170201
19,CHAIR YELLEN,CHAIR YELLEN Do I have a motion to approve these nominations? ,Do I have a motion to approve these nominations?,20170201
20,MR FISCHER,MR FISCHER So moved,So moved,20170201
21,CHAIR YELLEN,CHAIR YELLEN Okay Second? ,Okay Second?,20170201
22,VICE CHAIRMAN DUDLEY,VICE CHAIRMAN DUDLEY Second,Second,20170201
23,CHAIR YELLEN,CHAIR YELLEN Thank you Without objection Okay That takes us to agenda item 2 which is “Selection of a Federal Reserve Bank to Execute Transactions for the System Open Market Account” Do I have any volunteers or nominations? Stan do you want to—,Thank you Without objection Okay That takes us to agenda item 2 which is “Selection of a Federal Reserve Bank to Execute Transactions for the System Open Market Account” Do I have any volunteers or nominations? Stan do you want to—,20170201
24,MR FISCHER,MR FISCHER Well are we nominating New York for this?,Well are we nominating New York for this?,20170201
25,CHAIR YELLEN,CHAIR YELLEN I have a feeling that New York might be willing to serve ,I have a feeling that New York might be willing to serve,20170201
26,MR WILCOX,MR WILCOX Do we need somebody with cue cards?,Do we need somebody with cue cards?,20170201
27,VICE CHAIRMAN DUDLEY,VICE CHAIRMAN DUDLEY New York would be willing to serve,New York would be willing to serve,20170201
28,CHAIR YELLEN,CHAIR YELLEN Well other nominees are possible if you have other suggestions ,Well other nominees are possible if you have other suggestions,20170201
29,MR FISCHER,MR FISCHER No,No,20170201
30,CHAIR YELLEN,CHAIR YELLEN Okay We have a nomination for New York Do I have a second? ,Okay We have a nomination for New York Do I have a second?,20170201
31,MR TARULLO,MR TARULLO Second,Second,20170201
32,CHAIR YELLEN,CHAIR YELLEN Thank you Without objection And next we’re going to turn to itemLet me turn this over to Vice Chairman Dudley We need to select a manager and deputy manager of the System Open Market Account,Thank you Without objection And next we’re going to turn to itemLet me turn this over to Vice Chairman Dudley We need to select a manager and deputy manager of the System Open Market Account,20170201
33,VICE CHAIRMAN DUDLEY,VICE CHAIRMAN DUDLEY Thank you Madam Chair I nominate Simon Potter to be the soma manager and I nominate Lorie Logan to be the soma deputy manager,Thank you Madam Chair I nominate Simon Potter to be the soma manager and I nominate Lorie Logan to be the soma deputy manager,20170201
34,CHAIR YELLEN,CHAIR YELLEN Okay Do I have a second? ,Okay Do I have a second?,20170201
35,MR FISCHER,MR FISCHER Second,Second,20170201
36,CHAIR YELLEN,CHAIR YELLEN Okay And without objection Thanks And now let me call on Simon to walk us through the adoption of the domestic open market operations and foreign currency operations,Okay And without objection Thanks And now let me call on Simon to walk us through the adoption of the domestic open market operations and foreign currency operations,20170201
